Bedrooms,NetSqm
"1","101"
"1","98"
"1","83"
"1","78"
"1","77"
"1","76"
"1","75"
"1","74"
"1","73"
"1","72"
"1","71"
"1","70"
"1","69"
"1","68"
"1","67"
"1","66"
"1","65"
"1","64"
"1","63"
"1","62"
"1","61"
"1","60"
"1","59"
"1","58"
"1","57"
"1","56"
"1","55"
"1","54"
"1","53"
"1","52"
"1","51"
"1","50"
"1","49"
"1","48"
"1","47"
"1","46"
"1","45"
"1","44"
"1","43"
"1","42"
"1","41"
"1","40"
"1","39"
"1","38"
"1","37"
"1","36"
"1","35"
"1","34"
"1","33"
"1","32"
"1","31"
"1","30"
"1","29"
"1","28"
"1","27"
"1","26"
"1","25"
"1","24"
"1","23"
"1","22"
"1","21"
"1","20"
"1","19"
"1","18"
"1","17"
"1","16"
"1","15"
"1","14"
"1","13"
"1","12"
"1","11"
"2","270"
"2","244"
"2","235"
"2","221"
"2","212"
"2","205"
"2","200"
"2","194"
"2","189"
"2","183"
"2","173"
"2","171"
"2","161"
"2","159"
"2","156"
"2","148"
"2","147"
"2","144"
"2","141"
"2","140"
"2","139"
"2","138"
"2","136"
"2","133"
"2","130"
"2","129"
"2","128"
"2","127"
"2","126"
"2","125"
"2","124"
"2","123"
"2","122"
"2","121"
"2","120"
"2","119"
"2","118"
"2","117"
"2","116"
"2","115"
"2","114"
"2","113"
"2","112"
"2","111"
"2","109"
"2","108"
"2","107"
"2","106"
"2","105"
"2","104"
"2","103"
"2","102"
"2","101"
"2","100"
"2","99"
"2","98"
"2","97"
"2","96"
"2","95"
"2","94"
"2","93"
"2","92"
"2","91"
"2","90"
"2","89"
"2","88"
"2","87"
"2","86"
"2","85"
"2","84"
"2","83"
"2","82"
"2","81"
"2","80"
"2","79"
"2","78"
"2","77"
"2","76"
"2","75"
"2","74"
"2","73"
"2","72"
"2","71"
"2","70"
"2","69"
"2","68"
"2","67"
"2","66"
"2","65"
"2","64"
"2","63"
"2","62"
"2","61"
"2","60"
"2","59"
"2","58"
"2","57"
"2","56"
"2","55"
"2","54"
"2","53"
"2","52"
"2","51"
"2","50"
"2","49"
"2","48"
"2","47"
"2","46"
"2","45"
"2","44"
"2","43"
"2","42"
"2","41"
"2","40"
"2","39"
"2","38"
"2","37"
"2","36"
"2","35"
"2","34"
"2","33"
"2","32"
"2","31"
"2","30"
"2","29"
"2","28"
"2","27"
"2","26"
"2","25"
"2","24"
"2","23"
"2","22"
"2","21"
"2","20"
"2","19"
"2","18"
"2","17"
"2","16"
"2","15"
"2","14"
"2","13"
"2","11"
"3","405"
"3","311"
"3","290"
"3","244"
"3","224"
"3","223"
"3","222"
"3","216"
"3","213"
"3","192"
"3","183"
"3","180"
"3","177"
"3","176"
"3","175"
"3","174"
"3","173"
"3","172"
"3","170"
"3","169"
"3","168"
"3","167"
"3","166"
"3","164"
"3","163"
"3","162"
"3","161"
"3","160"
"3","159"
"3","158"
"3","157"
"3","156"
"3","155"
"3","154"
"3","153"
"3","152"
"3","151"
"3","150"
"3","149"
"3","148"
"3","147"
"3","146"
"3","145"
"3","144"
"3","143"
"3","142"
"3","141"
"3","140"
"3","139"
"3","138"
"3","137"
"3","136"
"3","135"
"3","134"
"3","133"
"3","132"
"3","131"
"3","130"
"3","129"
"3","128"
"3","127"
"3","126"
"3","125"
"3","124"
"3","123"
"3","122"
"3","121"
"3","120"
"3","119"
"3","118"
"3","117"
"3","116"
"3","115"
"3","114"
"3","113"
"3","112"
"3","111"
"3","110"
"3","109"
"3","108"
"3","107"
"3","106"
"3","105"
"3","104"
"3","103"
"3","102"
"3","101"
"3","100"
"3","99"
"3","98"
"3","97"
"3","96"
"3","95"
"3","94"
"3","93"
"3","92"
"3","91"
"3","90"
"3","89"
"3","88"
"3","87"
"3","86"
"3","85"
"3","84"
"3","83"
"3","82"
"3","81"
"3","80"
"3","79"
"3","78"
"3","77"
"3","76"
"3","75"
"3","74"
"3","73"
"3","72"
"3","71"
"3","70"
"3","69"
"3","68"
"3","67"
"3","66"
"3","65"
"3","64"
"3","63"
"3","62"
"3","61"
"3","60"
"3","59"
"3","58"
"3","57"
"3","56"
"3","55"
"3","54"
"3","53"
"3","52"
"3","51"
"3","50"
"3","49"
"3","48"
"3","47"
"3","46"
"3","45"
"3","44"
"3","43"
"3","42"
"3","41"
"3","40"
"3","39"
"3","38"
"3","37"
"3","35"
"3","34"
"3","33"
"3","32"
"3","30"
"3","28"
"3","27"
"3","26"
"3","25"
"3","23"
"3","22"
"3","21"
"3","20"
"3","19"
"3","18"
"3","17"
"3","15"
"3","14"
"3","13"
"3","12"
"4","389"
"4","382"
"4","364"
"4","342"
"4","331"
"4","315"
"4","301"
"4","270"
"4","268"
"4","252"
"4","230"
"4","229"
"4","225"
"4","224"
"4","221"
"4","220"
"4","219"
"4","217"
"4","216"
"4","212"
"4","211"
"4","209"
"4","207"
"4","206"
"4","205"
"4","204"
"4","203"
"4","202"
"4","201"
"4","200"
"4","198"
"4","196"
"4","195"
"4","194"
"4","192"
"4","191"
"4","190"
"4","189"
"4","188"
"4","187"
"4","186"
"4","185"
"4","184"
"4","183"
"4","182"
"4","181"
"4","180"
"4","179"
"4","178"
"4","177"
"4","176"
"4","175"
"4","173"
"4","172"
"4","171"
"4","169"
"4","168"
"4","166"
"4","165"
"4","164"
"4","163"
"4","162"
"4","161"
"4","160"
"4","159"
"4","158"
"4","157"
"4","156"
"4","155"
"4","154"
"4","153"
"4","152"
"4","151"
"4","149"
"4","148"
"4","147"
"4","146"
"4","145"
"4","144"
"4","142"
"4","141"
"4","140"
"4","139"
"4","138"
"4","137"
"4","136"
"4","135"
"4","134"
"4","133"
"4","132"
"4","131"
"4","130"
"4","129"
"4","128"
"4","127"
"4","126"
"4","125"
"4","124"
"4","123"
"4","122"
"4","121"
"4","120"
"4","119"
"4","118"
